vote_average
4.7
5.7
7.798
7.5
6.0
7.8
6.7
5.3
5.9
7.2
7.4
8.377
7.804
7.0
8.0
5.8
5.8
7.2
7.4
8.2
5.2
0.0
5.6
7.4
0.0
7.2
8.4
7.2
7.8
6.1
10.0
4.5
7.5
6.3
5.0
7.7
7.7
7.8
5.9
6.8
8.2
7.507
8.0
7.4
7.3
6.7
5.3
7.8
4.4
6.9
9.0
6.2
0.0
7.324
6.9
7.0
6.984
8.2
5.2
8.3
7.288
6.0
8.0
0.0
8.229
6.0
8.6
7.9
5.6
6.2
7.4
8.2
7.0
7.4
8.0
6.5
7.158
10.0
3.5
7.447
8.6
0.0
6.0
7.0
8.2
5.6
7.7
8.5
6.8
7.9
7.0
1.0
5.1
7.4
7.3
7.8
5.9
7.477
6.0
7.5
3.2
7.5
7.8
5.0
7.7
8.0
8.2
6.8
3.8
5.2
7.4
6.2
8.219
7.0
6.9
6.7
8.45
7.194
7.6
7.7
7.2
1.0
7.5
8.3
7.8
7.7
7.6
0.0
0.0
7.5
7.2
4.5
8.575
0.0
8.522
0.0
7.623
6.8
7.9
7.6
8.0
8.2
6.4
7.7
6.7
6.2
6.1
8.301
0.0
9.0
6.5
6.319
7.3
9.0
8.2
6.6
7.7
8.4
3.0
5.8
6.5
7.8
7.095
5.2
6.605
7.3
7.1
6.0
6.8
0.0
6.3
6.5
8.1
6.0
6.9
7.0
8.49
8.018
7.8
7.92
8.2
7.4
0.0
7.1
7.1
8.2
7.8
6.9
7.2
8.19
6.9
8.5
6.5
7.6
7.877
6.5
7.958
7.102
7.4
7.5
0.0
6.0
7.3
5.0
0.0
8.0
8.042
6.2
4.9
8.1
5.9
7.0
6.0
7.58
4.0
7.7
0.0
6.5
7.3
6.2
8.2
6.2
7.5
7.754
6.9
6.7
8.3
7.7
7.931
6.7
6.0
7.5
7.0
8.1
6.5
8.0
8.065
4.2
7.0
8.3
9.0
7.1
6.3
7.7
5.9
8.0
6.3
7.8
6.9
7.7
7.7
8.0
7.2
6.5
7.3
0.0
8.0
7.7
7.4
5.6
7.3
7.2
6.1
8.4
8.3
7.4
7.6
7.6
8.1
7.8
7.1
9.5
7.0
8.5
7.3
6.2
7.1
5.5
8.1
7.6
7.145
7.1
5.9
